company,ticker,name,last_name,first_name,title,cash,equity,other,total,change,age,gender,mug
Tableau Software,DATA,Christian Chabot,Chabot,Christian,Chairman & CEO,300000,319000,30718,649718,-0.740360081,42,M,Chabot_Christian.jpg
Timberland Bancorp,TSBK,Michael Sand,Sand,Michael,President & CEO,261380,0,17745,279125,0.237415271,59,M,Sand_Michael.jpg
Timberline Resources,TLR,Paul Dircksen,Dircksen,Paul,"Chairman, President & CEO",220500,0,0,220500,-0.445000982,68,M,
T-Mobile US,TMUS,John Legere,Legere,John,President & CEO,6608333,22500050,137325,29245708,n/a,55,M,Legere_John.jpg
TriQuint Semiconductor,TQNT,Ralph Quinsey,Quinsey,Ralph,President & CEO,818824,880257,9597,1708678,0.819674505,58,M,Quinsey_Ralph.jpg
TrueBlue,TBI,Steven Cooper,Cooper,Steven,President & CEO,1248001,1189544,0,2437545,-0.088114394,51,M,Cooper_Steven.jpg
U.S. Geothermal,HTM,Dennis Gilles,Gilles,Dennis,CEO,404061,442978,34303,881342,n/a,55,M,
Umpqua Holdings,UMPQ,Raymond Davis,Davis,Raymond,President & CEO,1499600,691200,156371,2347171,-0.078116022,64,M,Davis_Ray.jpg
US Ecology,ECOL,Jeffrey Feeler,Feeler,Jeffrey,President & CEO,585769,750132,15001,1350902,n/a,44,M,
Washington Banking,WBCO,John Wagner,Wagner,John,President & CEO,412500,104325,13472,530297,-0.18114634,70,M,Wagner_Jack.jpg
Washington Federal,WAFD,Roy Whitehead,Whitehead,Roy,"Chairman, President & CEO",1875000,978000,84068,2937068,0.341047335,61,M,Whitehead_Roy.jpg
Weyerhaeuser,WY,Doyle Simons,Simons,Doyle,President & CEO,1411777,2499685,275335,4186797,n/a,50,M,
Willamette Valley Vineyards,WVVI,James Bernau,Bernau,James,"Chairman, President & CEO",375933,0,26533,402466,0.080370229,60,M,Bernau_Jim.jpg
Zillow,Z,Spencer Rascoff,Rascoff,Spencer,CEO,473570,10113600,0,10587170,0.49417736,38,M,Rascoff_Spencer.jpg
zulily,ZU,Darrell Cavens,Cavens,Darrell,President & CEO,350000,26960886,0,27310886,n/a,41,M,Cavens_Darrell.jpg
Zumiez,ZUMZ,Richard Brooks,Brooks,Richard,CEO,844919,0,10823,855742,-0.293632188,54,M,Brooks_Rick.jpg
